timestamp,equipment_id,actual_energy,expected_energy,deviation_pct,residual,anomaly_score,severity,persistent,consecutive_abnormal_readings,trend,cooling_water_temp,chilled_water_flow,building_load,outside_temp
2026-01-15 08:00:00,Chiller_02,81.2,80.5,0.87,0.7,0.05,NORMAL,False,0,STABLE,26.0,85.2,448.0,81.0
2026-01-15 08:30:00,Chiller_02,81.8,81.0,0.99,0.8,0.08,NORMAL,False,0,STABLE,26.1,85.0,449.5,81.2
2026-01-15 09:00:00,Chiller_02,82.0,81.5,0.61,0.5,0.06,NORMAL,False,0,STABLE,26.0,85.1,450.0,81.5
2026-01-15 09:30:00,Chiller_02,82.4,81.8,0.73,0.6,0.09,NORMAL,False,0,STABLE,26.0,85.0,450.2,81.8
2026-01-15 10:00:00,Chiller_02,90.5,82.0,10.37,8.5,0.42,WATCH,False,1,INCREASING,26.8,84.2,451.0,82.0
2026-01-15 10:30:00,Chiller_02,92.1,82.1,12.18,10.0,0.48,WATCH,False,2,INCREASING,27.1,83.5,451.5,82.1
2026-01-15 11:00:00,Chiller_02,96.4,82.2,17.27,14.2,0.68,INVESTIGATE,True,3,INCREASING,27.5,82.1,452.0,82.3
2026-01-15 11:30:00,Chiller_02,99.8,82.3,21.26,17.5,0.79,INVESTIGATE,True,4,INCREASING,27.8,81.5,452.5,82.5
2026-01-15 12:00:00,Chiller_02,101.5,82.4,23.18,19.1,0.85,INVESTIGATE,True,5,INCREASING,28.0,81.0,453.0,82.7
2026-01-15 12:30:00,Chiller_02,103.7,82.4,25.85,21.3,0.91,INVESTIGATE,True,6,INCREASING,28.1,80.75,453.6,82.9
2026-01-15 13:00:00,Chiller_02,104.2,82.5,26.30,21.7,0.93,INVESTIGATE,True,7,INCREASING,28.2,80.5,454.0,83.0
2026-01-15 13:30:00,Chiller_02,103.9,82.5,25.94,21.4,0.91,INVESTIGATE,True,8,STABLE,28.1,80.6,453.8,83.1
2026-01-15 14:00:00,Chiller_02,102.8,82.6,24.46,20.2,0.88,INVESTIGATE,True,9,DECREASING,27.9,81.2,453.5,82.8
